r_id,pais,ed,jc10,aoj11,q1,aoj12,b18,infrax,e16,aoj22,q3c,q5b,q10new_14,etid,vic1ext,vicbar7
15533,Uruguay,8,1,Somewhat Safe,Female,Little,1,Between 10 and 30 minutes,1,Increase punishment of criminal,None (Believes in a Supreme Entity but does not belong to any religion),Not Important at All,7,Mestizo,1,1
15534,Uruguay,3,0,Very Safe,Male,Some,7,Between 10 and 30 minutes,1,Implement preventative measures,None (Believes in a Supreme Entity but does not belong to any religion),Not Important at All,5,White,0,0
15535,Uruguay,12,0,Somewhat Safe,Female,Little,6,Between 10 and 30 minutes,3,Increase punishment of criminal,Catholic,Not Very Important,16,White,0,0
15536,Uruguay,12,0,Very Unsafe,Male,Little,1,Between 10 and 30 minutes,1,Both,None (Believes in a Supreme Entity but does not belong to any religion),Not Important at All,15,White,1,1
15537,Uruguay,8,1,Somewhat Safe,Female,A lot,2,More than 30 minutes and up to an hour,1,Increase punishment of criminal,Church of Latter Day Saints (Mormon),Somewhat Important,4,White,0,0
15538,Uruguay,6,0,Somewhat Unsafe,Male,None,4,[Don't Read] There are no police/they would not come,1,Increase punishment of criminal,Catholic,Very Important,8,Mulatto,1,0
15539,Uruguay,18,0,Somewhat Unsafe,Male,Some,3,More than 1 hour and up to 3 hours,5,Implement preventative measures,Catholic,Somewhat Important,16,White,1,0
15540,Uruguay,6,1,Somewhat Safe,Male,No Response,7,Between 10 and 30 minutes,1,Implement preventative measures,Catholic,Somewhat Important,7,White,0,0
15541,Uruguay,12,0,Somewhat Unsafe,Female,Little,6,Less than 10 minutes,7,Implement preventative measures,Agnostic or Atheist (Does not believe in God),Not Important at All,2,Mestizo,1,0
15542,Uruguay,6,0,Very Safe,Male,A lot,4,Between 10 and 30 minutes,7,Increase punishment of criminal,None (Believes in a Supreme Entity but does not belong to any religion),Not Very Important,3,White,0,0
15543,Uruguay,12,1,Very Unsafe,Female,None,3,More than 1 hour and up to 3 hours,4,Increase punishment of criminal,Catholic,Somewhat Important,16,White,0,0
15544,Uruguay,6,0,Very Safe,Male,Some,5,Less than 10 minutes,1,Implement preventative measures,Catholic,Somewhat Important,11,White,0,0
15545,Uruguay,6,0,Somewhat Unsafe,Male,Little,6,Less than 10 minutes,10,Increase punishment of criminal,Agnostic or Atheist (Does not believe in God),Somewhat Important,16,White,0,0
15546,Uruguay,7,0,Very Safe,Male,Some,5,Between 10 and 30 minutes,1,Implement preventative measures,Catholic,Very Important,15,White,0,1
15547,Uruguay,11,0,Somewhat Unsafe,Female,None,2,No Response,4,Increase punishment of criminal,Catholic,Somewhat Important,7,White,0,0
15548,Uruguay,18,0,Very Safe,Male,Some,3,Between 10 and 30 minutes,1,Implement preventative measures,None (Believes in a Supreme Entity but does not belong to any religion),Not Important at All,16,Mestizo,0,0
15549,Uruguay,6,1,Somewhat Safe,Male,Little,4,Less than 10 minutes,NA,Increase punishment of criminal,Don't Know,Not Very Important,11,Black,0,0
15550,Uruguay,6,0,Very Safe,Female,A lot,7,Between 10 and 30 minutes,1,Increase punishment of criminal,Catholic,Not Important at All,4,White,0,0
15551,Uruguay,10,0,Somewhat Safe,Female,Little,4,Between 10 and 30 minutes,1,Increase punishment of criminal,None (Believes in a Supreme Entity but does not belong to any religion),Not Important at All,12,White,0,0
15552,Uruguay,10,0,Somewhat Safe,Male,Some,5,Between 10 and 30 minutes,1,Implement preventative measures,Agnostic or Atheist (Does not believe in God),Somewhat Important,10,White,0,0
15553,Uruguay,10,0,Somewhat Safe,Female,None,6,More than 1 hour and up to 3 hours,4,Increase punishment of criminal,Catholic,Very Important,7,Mestizo,0,0
15554,Uruguay,12,0,Somewhat Unsafe,Female,Little,4,Between 10 and 30 minutes,1,Implement preventative measures,Catholic,Somewhat Important,14,White,0,0
15555,Uruguay,15,0,Somewhat Safe,Female,Some,4,More than 30 minutes and up to an hour,2,Increase punishment of criminal,None (Believes in a Supreme Entity but does not belong to any religion),Not Important at All,14,White,1,0
15556,Uruguay,18,0,Somewhat Safe,Male,No Response,6,Less than 10 minutes,5,Implement preventative measures,"Protestant, Mainline Protestant or Protestant non-Evangelical",Somewhat Important,16,White,0,0
15557,Uruguay,5,0,Very Safe,Female,Some,7,Between 10 and 30 minutes,1,Implement preventative measures,Catholic,Very Important,NA,White,0,0
15558,Uruguay,6,0,Very Safe,Female,A lot,7,Less than 10 minutes,1,Implement preventative measures,Catholic,Somewhat Important,6,White,0,0
15559,Uruguay,6,0,Very Safe,Female,A lot,7,Less than 10 minutes,1,Implement preventative measures,Agnostic or Atheist (Does not believe in God),Somewhat Important,16,White,0,0
15560,Uruguay,6,0,Very Unsafe,Female,None,1,More than 3 hours,2,Implement preventative measures,Catholic,Not Important at All,9,White,1,0
15561,Uruguay,16,NA,Somewhat Safe,Female,Little,4,No Response,1,Implement preventative measures,Catholic,Not Very Important,NA,White,0,0
15562,Uruguay,10,0,Very Unsafe,Female,None,4,Less than 10 minutes,10,Increase punishment of criminal,None (Believes in a Supreme Entity but does not belong to any religion),Somewhat Important,5,No Response,0,0
15563,Uruguay,6,0,Very Unsafe,Female,No Response,4,More than 30 minutes and up to an hour,1,Implement preventative measures,Catholic,Somewhat Important,9,White,0,0
15564,Uruguay,6,1,Very Safe,Female,None,6,More than 30 minutes and up to an hour,1,Increase punishment of criminal,None (Believes in a Supreme Entity but does not belong to any religion),Not Very Important,8,White,0,0
15565,Uruguay,4,0,Somewhat Unsafe,Male,A lot,7,Between 10 and 30 minutes,1,Implement preventative measures,Church of Latter Day Saints (Mormon),Very Important,12,White,0,0
15566,Uruguay,13,0,Somewhat Safe,Male,Little,5,Between 10 and 30 minutes,NA,Don't Know,Catholic,Somewhat Important,NA,Mestizo,0,NA
15567,Uruguay,16,0,Somewhat Unsafe,Female,Little,3,Between 10 and 30 minutes,1,Implement preventative measures,None (Believes in a Supreme Entity but does not belong to any religion),Not Important at All,14,White,0,0
15568,Uruguay,12,0,Somewhat Unsafe,Female,None,3,More than 30 minutes and up to an hour,10,Increase punishment of criminal,Catholic,Somewhat Important,7,White,0,0
15569,Uruguay,10,0,Very Safe,Male,Little,1,More than 30 minutes and up to an hour,4,Increase punishment of criminal,Don't Know,Not Important at All,NA,White,0,0
15570,Uruguay,6,NA,Somewhat Safe,Female,Some,4,No Response,1,Increase punishment of criminal,None (Believes in a Supreme Entity but does not belong to any religion),Very Important,NA,White,0,0
15571,Uruguay,12,0,Somewhat Unsafe,Female,Some,3,Between 10 and 30 minutes,6,Implement preventative measures,Agnostic or Atheist (Does not believe in God),Not Very Important,9,Mestizo,1,0
15572,Uruguay,10,1,Somewhat Unsafe,Male,None,5,Between 10 and 30 minutes,1,No Response,Evangelical and Protestant,Very Important,14,White,0,0
15573,Uruguay,6,0,Very Safe,Male,No Response,6,More than 1 hour and up to 3 hours,5,Increase punishment of criminal,Don't Know,Not Important at All,12,White,0,0
15574,Uruguay,15,0,Somewhat Safe,Male,Some,5,More than 30 minutes and up to an hour,5,Increase punishment of criminal,Catholic,Not Important at All,NA,White,0,0
15575,Uruguay,14,0,No Response,Male,No Response,1,More than 30 minutes and up to an hour,2,No Response,None (Believes in a Supreme Entity but does not belong to any religion),Not Very Important,16,White,0,0
15576,Uruguay,16,0,Somewhat Safe,Female,None,3,More than 3 hours,1,Implement preventative measures,Catholic,Very Important,NA,White,0,0
15577,Uruguay,11,0,Somewhat Safe,Male,Some,5,Between 10 and 30 minutes,1,Increase punishment of criminal,None (Believes in a Supreme Entity but does not belong to any religion),Not Very Important,14,Black,0,1
15578,Uruguay,18,0,Very Unsafe,Female,A lot,3,More than 1 hour and up to 3 hours,1,Implement preventative measures,Catholic,Very Important,16,White,0,1
15579,Uruguay,6,0,Very Unsafe,Male,None,4,Less than 10 minutes,1,Increase punishment of criminal,Evangelical and Protestant,Very Important,10,White,0,1
15580,Uruguay,9,1,Somewhat Safe,Female,None,1,More than 1 hour and up to 3 hours,1,Increase punishment of criminal,None (Believes in a Supreme Entity but does not belong to any religion),Not Very Important,3,Mestizo,0,0
15581,Uruguay,3,0,Somewhat Safe,Male,A lot,7,Less than 10 minutes,1,Increase punishment of criminal,Catholic,Somewhat Important,7,White,0,0
15582,Uruguay,5,1,Somewhat Unsafe,Female,None,1,More than 30 minutes and up to an hour,1,Implement preventative measures,None (Believes in a Supreme Entity but does not belong to any religion),Not Important at All,3,White,0,0
15583,Uruguay,6,0,Somewhat Safe,Male,Little,5,Between 10 and 30 minutes,1,Increase punishment of criminal,None (Believes in a Supreme Entity but does not belong to any religion),Not Important at All,16,White,0,0
15584,Uruguay,11,0,Very Safe,Male,A lot,7,Less than 10 minutes,2,Implement preventative measures,None (Believes in a Supreme Entity but does not belong to any religion),Not Important at All,16,Mestizo,1,0
15585,Uruguay,7,0,Somewhat Unsafe,Male,Little,6,More than 30 minutes and up to an hour,1,Both,Evangelical and Protestant,Somewhat Important,NA,White,0,0
15586,Uruguay,2,0,Very Safe,Male,Some,5,More than 1 hour and up to 3 hours,2,Increase punishment of criminal,None (Believes in a Supreme Entity but does not belong to any religion),Somewhat Important,8,White,0,0
15587,Uruguay,5,0,Somewhat Safe,Female,Little,5,Between 10 and 30 minutes,1,Increase punishment of criminal,None (Believes in a Supreme Entity but does not belong to any religion),Not Very Important,4,Mestizo,0,0
15588,Uruguay,12,0,Somewhat Unsafe,Female,Little,5,More than 1 hour and up to 3 hours,10,Increase punishment of criminal,Don't Know,Not Important at All,2,White,1,0
15589,Uruguay,6,1,Somewhat Unsafe,Female,Little,2,More than 1 hour and up to 3 hours,9,Increase punishment of criminal,Don't Know,Not Important at All,6,White,0,0
15590,Uruguay,6,0,Very Unsafe,Female,None,3,More than 30 minutes and up to an hour,3,Increase punishment of criminal,Agnostic or Atheist (Does not believe in God),Somewhat Important,16,Mestizo,0,1
15591,Uruguay,4,1,Very Safe,Female,A lot,7,Between 10 and 30 minutes,1,Increase punishment of criminal,Evangelical and Protestant,Very Important,8,White,0,0
15592,Uruguay,12,0,Somewhat Safe,Female,None,1,[Don't Read] There are no police/they would not come,1,Implement preventative measures,Catholic,Somewhat Important,NA,White,0,0
15593,Uruguay,16,0,Somewhat Safe,Female,None,1,More than 30 minutes and up to an hour,1,Implement preventative measures,Catholic,Very Important,NA,White,0,0
15594,Uruguay,8,1,Somewhat Safe,Female,Little,7,Between 10 and 30 minutes,1,Increase punishment of criminal,Catholic,Very Important,11,Mestizo,0,0
15595,Uruguay,12,0,Somewhat Unsafe,Female,A lot,4,Between 10 and 30 minutes,7,Implement preventative measures,Catholic,Somewhat Important,7,White,0,0
15596,Uruguay,10,NA,Somewhat Safe,Female,Little,5,Between 10 and 30 minutes,2,Implement preventative measures,Evangelical and Protestant,Very Important,5,Mestizo,0,0
15597,Uruguay,16,0,Somewhat Unsafe,Male,Some,5,Less than 10 minutes,3,Don't Know,Catholic,Very Important,16,White,1,0
15598,Uruguay,12,1,Somewhat Unsafe,Female,Little,1,More than 3 hours,10,Increase punishment of criminal,Catholic,Not Very Important,NA,White,0,0
15599,Uruguay,8,1,Very Unsafe,Female,Little,5,Between 10 and 30 minutes,1,Implement preventative measures,Catholic,Somewhat Important,8,White,0,0
15600,Uruguay,12,0,Somewhat Safe,Female,None,3,Between 10 and 30 minutes,1,Increase punishment of criminal,Catholic,Not Important at All,12,White,1,0
15601,Uruguay,12,0,Somewhat Safe,Female,None,2,Between 10 and 30 minutes,5,Implement preventative measures,Catholic,Somewhat Important,5,White,0,0
15602,Uruguay,6,0,Somewhat Safe,Male,Little,7,Between 10 and 30 minutes,1,Increase punishment of criminal,Catholic,Not Important at All,2,White,0,0
15603,Uruguay,6,1,Somewhat Safe,Female,Don't Know,1,More than 1 hour and up to 3 hours,4,Increase punishment of criminal,Evangelical and Protestant,Very Important,10,Mestizo,0,0
15604,Uruguay,9,0,Somewhat Unsafe,Female,Little,4,More than 30 minutes and up to an hour,3,Implement preventative measures,Catholic,Very Important,8,White,0,0
15605,Uruguay,14,0,Somewhat Unsafe,Female,None,4,Between 10 and 30 minutes,7,Both,Evangelical and Protestant,Very Important,10,White,0,0
15606,Uruguay,12,0,Somewhat Unsafe,Female,None,5,Between 10 and 30 minutes,1,Increase punishment of criminal,Catholic,Not Very Important,16,White,0,0
15607,Uruguay,6,0,Somewhat Safe,Female,Little,3,No Response,1,Implement preventative measures,Agnostic or Atheist (Does not believe in God),Not Important at All,6,Black,0,0
15608,Uruguay,13,1,Very Unsafe,Female,A lot,4,More than 30 minutes and up to an hour,10,Increase punishment of criminal,Traditional or Native Religion,Very Important,6,Mestizo,0,0
15609,Uruguay,6,1,Somewhat Safe,Male,Some,7,Between 10 and 30 minutes,1,Increase punishment of criminal,Agnostic or Atheist (Does not believe in God),Somewhat Important,6,Mestizo,0,0
15610,Uruguay,14,1,Very Safe,Female,None,4,Between 10 and 30 minutes,5,Increase punishment of criminal,Catholic,Somewhat Important,7,White,0,0
15611,Uruguay,12,0,Very Unsafe,Male,None,3,More than 30 minutes and up to an hour,5,Both,None (Believes in a Supreme Entity but does not belong to any religion),Not Important at All,16,No Response,0,1
15612,Uruguay,9,0,Somewhat Unsafe,Female,Little,7,Less than 10 minutes,1,Implement preventative measures,Agnostic or Atheist (Does not believe in God),Not Important at All,11,White,1,0
15613,Uruguay,9,0,Somewhat Safe,Female,Some,7,Less than 10 minutes,4,Increase punishment of criminal,Catholic,Very Important,7,White,0,0
15614,Uruguay,9,0,Somewhat Safe,Male,None,1,More than 30 minutes and up to an hour,8,Implement preventative measures,Agnostic or Atheist (Does not believe in God),Not Important at All,10,Mestizo,0,0
15615,Uruguay,10,0,Somewhat Safe,Male,Some,6,Less than 10 minutes,3,Increase punishment of criminal,Catholic,Somewhat Important,6,White,0,0
15616,Uruguay,6,1,Somewhat Safe,Female,Some,4,Less than 10 minutes,1,Increase punishment of criminal,Agnostic or Atheist (Does not believe in God),Not Important at All,1,White,0,0
15617,Uruguay,6,1,Somewhat Safe,Female,Little,7,Between 10 and 30 minutes,5,Increase punishment of criminal,Traditional or Native Religion,Very Important,NA,White,0,0
15618,Uruguay,16,0,Somewhat Unsafe,Female,Little,4,More than 30 minutes and up to an hour,2,Implement preventative measures,Agnostic or Atheist (Does not believe in God),Not Important at All,15,White,1,0
15619,Uruguay,18,0,Very Unsafe,Male,Some,4,More than 1 hour and up to 3 hours,1,Increase punishment of criminal,Catholic,Not Very Important,16,White,0,0
15620,Uruguay,10,0,Somewhat Unsafe,Male,Little,6,Between 10 and 30 minutes,3,Implement preventative measures,Catholic,Somewhat Important,12,White,0,1
15621,Uruguay,14,0,Very Safe,Female,Little,4,No Response,2,Increase punishment of criminal,Agnostic or Atheist (Does not believe in God),Very Important,16,White,0,0
15622,Uruguay,11,0,No Response,Female,Little,5,Between 10 and 30 minutes,5,Increase punishment of criminal,Don't Know,Not Very Important,13,White,0,0
15623,Uruguay,6,0,Very Safe,Male,Some,4,More than 1 hour and up to 3 hours,10,Implement preventative measures,None (Believes in a Supreme Entity but does not belong to any religion),Not Important at All,5,Mestizo,0,0
15624,Uruguay,14,0,Somewhat Safe,Female,None,6,Less than 10 minutes,3,Both,None (Believes in a Supreme Entity but does not belong to any religion),Very Important,12,Mestizo,0,0
15625,Uruguay,6,1,Somewhat Unsafe,Male,None,3,More than 1 hour and up to 3 hours,9,Increase punishment of criminal,Don't Know,Not Important at All,2,White,1,0
15626,Uruguay,6,0,Somewhat Unsafe,Female,Some,1,More than 3 hours,1,Implement preventative measures,Catholic,Somewhat Important,3,White,1,0
15627,Uruguay,13,1,Somewhat Unsafe,Female,None,4,More than 30 minutes and up to an hour,1,Implement preventative measures,Catholic,Very Important,16,White,0,0
15628,Uruguay,7,0,Somewhat Unsafe,Male,None,5,Less than 10 minutes,1,Implement preventative measures,Catholic,Somewhat Important,2,White,0,0
15629,Uruguay,1,0,Very Safe,Female,Little,6,More than 1 hour and up to 3 hours,1,Implement preventative measures,Catholic,Don't Know,16,White,0,0
15630,Uruguay,16,1,Somewhat Unsafe,Female,Little,4,Between 10 and 30 minutes,5,Implement preventative measures,Catholic,Very Important,16,White,1,0
15631,Uruguay,6,0,Somewhat Unsafe,Male,None,3,Between 10 and 30 minutes,1,Implement preventative measures,Agnostic or Atheist (Does not believe in God),Somewhat Important,4,White,1,1
15632,Uruguay,10,0,Somewhat Safe,Female,Little,6,More than 30 minutes and up to an hour,6,Increase punishment of criminal,Evangelical and Protestant,Somewhat Important,NA,Black,0,0
15633,Uruguay,9,0,Somewhat Unsafe,Female,None,1,More than 1 hour and up to 3 hours,1,Increase punishment of criminal,Evangelical and Protestant,Very Important,13,Mestizo,0,0
15634,Uruguay,9,1,Very Unsafe,Female,Little,1,No Response,5,Implement preventative measures,None (Believes in a Supreme Entity but does not belong to any religion),Not Important at All,7,White,0,1
15635,Uruguay,12,0,Very Safe,Male,A lot,2,Less than 10 minutes,1,Implement preventative measures,Evangelical and Protestant,Very Important,11,White,1,0
15636,Uruguay,6,1,Somewhat Safe,Male,Some,4,Between 10 and 30 minutes,10,Increase punishment of criminal,Catholic,Not Important at All,6,White,0,0
15637,Uruguay,5,NA,Somewhat Unsafe,Female,Some,6,Between 10 and 30 minutes,5,Both,Evangelical and Protestant,Very Important,9,White,0,0
15638,Uruguay,9,1,Somewhat Safe,Male,Little,5,Between 10 and 30 minutes,1,Increase punishment of criminal,Church of Latter Day Saints (Mormon),Very Important,14,Mestizo,0,0
15639,Uruguay,3,0,Somewhat Unsafe,Female,None,1,Between 10 and 30 minutes,1,Increase punishment of criminal,None (Believes in a Supreme Entity but does not belong to any religion),Not Very Important,4,White,0,0
15640,Uruguay,10,0,Very Unsafe,Female,Little,2,Less than 10 minutes,1,Implement preventative measures,Catholic,Somewhat Important,NA,White,1,0
15641,Uruguay,11,1,Somewhat Unsafe,Male,None,4,Between 10 and 30 minutes,3,Increase punishment of criminal,Catholic,Somewhat Important,9,White,1,1
15642,Uruguay,12,0,Somewhat Unsafe,Female,Some,4,No Response,NA,Both,Catholic,Not Very Important,16,White,0,NA
15643,Uruguay,6,NA,Very Safe,Female,A lot,6,Less than 10 minutes,1,No Response,Catholic,Somewhat Important,8,White,0,0
15644,Uruguay,8,1,Very Unsafe,Female,Little,2,More than 1 hour and up to 3 hours,9,Implement preventative measures,Catholic,Very Important,5,White,0,0
15645,Uruguay,6,0,Very Safe,Female,Little,5,Between 10 and 30 minutes,4,Implement preventative measures,Agnostic or Atheist (Does not believe in God),Very Important,16,Mestizo,0,0
15646,Uruguay,9,0,Somewhat Unsafe,Male,Some,4,Between 10 and 30 minutes,1,Increase punishment of criminal,None (Believes in a Supreme Entity but does not belong to any religion),Not Important at All,16,White,1,0
15647,Uruguay,8,0,Very Unsafe,Female,A lot,5,Less than 10 minutes,1,Implement preventative measures,Catholic,Somewhat Important,16,White,1,1
15648,Uruguay,4,0,Somewhat Unsafe,Male,Little,4,More than 30 minutes and up to an hour,1,Implement preventative measures,Catholic,Somewhat Important,15,White,0,0
15649,Uruguay,16,0,Very Unsafe,Female,None,4,Between 10 and 30 minutes,7,Implement preventative measures,Catholic,Somewhat Important,8,White,0,1
15650,Uruguay,9,1,Somewhat Unsafe,Male,No Response,3,More than 30 minutes and up to an hour,1,Implement preventative measures,Don't Know,Somewhat Important,11,White,0,0
15651,Uruguay,6,0,Very Unsafe,Female,None,5,Less than 10 minutes,1,Increase punishment of criminal,Don't Know,Not Very Important,14,White,0,0
15652,Uruguay,8,1,Somewhat Unsafe,Female,None,7,Less than 10 minutes,10,Increase punishment of criminal,Catholic,Very Important,3,Mulatto,1,0
15653,Uruguay,9,0,Very Safe,Male,A lot,5,More than 30 minutes and up to an hour,8,Increase punishment of criminal,Evangelical and Protestant,Somewhat Important,NA,White,0,0
15654,Uruguay,18,0,Somewhat Unsafe,Male,None,3,Between 10 and 30 minutes,8,Both,Catholic,Somewhat Important,NA,White,1,1
15655,Uruguay,11,0,Somewhat Unsafe,Male,A lot,5,Less than 10 minutes,3,Implement preventative measures,Church of Latter Day Saints (Mormon),Very Important,16,White,0,0
15656,Uruguay,15,0,Very Safe,Male,None,5,Less than 10 minutes,3,Increase punishment of criminal,Catholic,Somewhat Important,7,White,0,0
15657,Uruguay,3,0,Somewhat Safe,Female,Little,7,Between 10 and 30 minutes,10,Implement preventative measures,Catholic,Very Important,9,White,0,0
15658,Uruguay,12,0,Somewhat Safe,Female,Some,6,Between 10 and 30 minutes,1,Implement preventative measures,None (Believes in a Supreme Entity but does not belong to any religion),Somewhat Important,16,White,0,0
15659,Uruguay,12,1,Somewhat Unsafe,Female,Little,2,Between 10 and 30 minutes,7,Increase punishment of criminal,Catholic,Somewhat Important,16,White,0,0
15660,Uruguay,6,NA,Very Unsafe,Male,None,4,Between 10 and 30 minutes,10,Increase punishment of criminal,Catholic,Very Important,12,White,1,0
15661,Uruguay,10,1,Very Unsafe,Female,Some,5,More than 30 minutes and up to an hour,5,Implement preventative measures,No Response,Somewhat Important,15,White,1,1
15662,Uruguay,10,0,Somewhat Safe,Female,A lot,7,Between 10 and 30 minutes,1,Implement preventative measures,Catholic,Very Important,8,White,0,0
15663,Uruguay,9,1,Somewhat Safe,Male,None,1,More than 1 hour and up to 3 hours,9,Increase punishment of criminal,"Protestant, Mainline Protestant or Protestant non-Evangelical",Not Very Important,7,White,1,0
15664,Uruguay,11,0,Very Unsafe,Female,None,3,More than 30 minutes and up to an hour,4,Increase punishment of criminal,None (Believes in a Supreme Entity but does not belong to any religion),Not Important at All,8,White,0,0
15665,Uruguay,6,1,Somewhat Safe,Female,Little,6,More than 30 minutes and up to an hour,2,Implement preventative measures,Evangelical and Protestant,Very Important,2,Mestizo,0,0
15666,Uruguay,9,0,Somewhat Unsafe,Female,Little,5,Between 10 and 30 minutes,10,Implement preventative measures,Evangelical and Protestant,Very Important,2,Mestizo,0,0
15667,Uruguay,8,0,Very Unsafe,Female,None,2,More than 30 minutes and up to an hour,1,Increase punishment of criminal,Agnostic or Atheist (Does not believe in God),Not Important at All,NA,White,0,1
15668,Uruguay,6,0,Somewhat Safe,Male,Little,7,Less than 10 minutes,1,Implement preventative measures,Catholic,Somewhat Important,7,White,0,1
15669,Uruguay,3,0,Somewhat Safe,Male,A lot,6,Less than 10 minutes,9,Implement preventative measures,Catholic,Very Important,2,Black,0,0
15670,Uruguay,9,1,Somewhat Unsafe,Female,A lot,7,Between 10 and 30 minutes,1,Implement preventative measures,None (Believes in a Supreme Entity but does not belong to any religion),Somewhat Important,3,Mestizo,0,0
15671,Uruguay,12,0,Somewhat Safe,Male,Some,3,Between 10 and 30 minutes,2,Implement preventative measures,None (Believes in a Supreme Entity but does not belong to any religion),Not Important at All,16,White,1,0
15672,Uruguay,6,0,Very Safe,Male,Little,7,Between 10 and 30 minutes,1,Increase punishment of criminal,Agnostic or Atheist (Does not believe in God),Not Important at All,16,Mestizo,0,0
15673,Uruguay,7,0,Very Unsafe,Male,None,3,More than 30 minutes and up to an hour,10,Increase punishment of criminal,Catholic,Somewhat Important,9,White,1,0
15674,Uruguay,6,1,Somewhat Safe,Female,No Response,5,More than 30 minutes and up to an hour,1,Implement preventative measures,Agnostic or Atheist (Does not believe in God),Not Important at All,2,Mestizo,0,0
15675,Uruguay,9,0,Somewhat Safe,Female,Little,6,No Response,2,Implement preventative measures,Catholic,Not Very Important,5,White,0,0
15676,Uruguay,10,0,Very Unsafe,Male,None,7,Less than 10 minutes,10,Increase punishment of criminal,Agnostic or Atheist (Does not believe in God),Not Important at All,9,White,0,0
15677,Uruguay,10,0,Somewhat Unsafe,Male,Little,5,Between 10 and 30 minutes,3,Both,Catholic,Somewhat Important,8,Mestizo,0,0
15678,Uruguay,16,0,Somewhat Unsafe,Male,Little,4,Between 10 and 30 minutes,1,Implement preventative measures,None (Believes in a Supreme Entity but does not belong to any religion),Not Very Important,16,White,0,0
15679,Uruguay,6,1,Somewhat Unsafe,Male,Little,2,Between 10 and 30 minutes,NA,Increase punishment of criminal,None (Believes in a Supreme Entity but does not belong to any religion),Not Very Important,11,White,0,0
15680,Uruguay,8,1,Somewhat Unsafe,Female,Little,3,More than 1 hour and up to 3 hours,3,Increase punishment of criminal,Evangelical and Protestant,Very Important,7,White,0,0
15681,Uruguay,10,0,Somewhat Safe,Male,Some,5,Between 10 and 30 minutes,1,Implement preventative measures,Catholic,Somewhat Important,14,Mestizo,0,0
15682,Uruguay,15,0,Somewhat Safe,Male,Little,5,More than 30 minutes and up to an hour,1,Implement preventative measures,None (Believes in a Supreme Entity but does not belong to any religion),Not Important at All,16,White,0,0
15683,Uruguay,9,0,Somewhat Unsafe,Female,None,1,More than 1 hour and up to 3 hours,8,Increase punishment of criminal,Don't Know,Not Important at All,16,White,0,0
15684,Uruguay,18,0,Somewhat Unsafe,Male,Some,4,More than 30 minutes and up to an hour,1,Implement preventative measures,"Jewish (Orthodox, Conservative, Reform)",Not Very Important,16,White,0,NA
15685,Uruguay,12,0,Very Safe,Female,None,4,Between 10 and 30 minutes,2,Implement preventative measures,None (Believes in a Supreme Entity but does not belong to any religion),Not Very Important,2,Black,0,0
15686,Uruguay,12,0,Somewhat Safe,Female,A lot,5,More than 30 minutes and up to an hour,1,Increase punishment of criminal,Catholic,Somewhat Important,13,Mestizo,0,0
15687,Uruguay,4,0,Somewhat Unsafe,Female,Some,6,Less than 10 minutes,1,Implement preventative measures,Catholic,Somewhat Important,14,Other,1,1
15688,Uruguay,6,0,Somewhat Safe,Female,A lot,6,Between 10 and 30 minutes,1,Increase punishment of criminal,Evangelical and Protestant,Very Important,16,Mulatto,0,0
15689,Uruguay,15,0,Somewhat Unsafe,Male,Some,3,Between 10 and 30 minutes,3,Increase punishment of criminal,None (Believes in a Supreme Entity but does not belong to any religion),Not Important at All,16,White,0,1
15690,Uruguay,14,1,Very Safe,Male,None,6,More than 30 minutes and up to an hour,1,Implement preventative measures,Catholic,Very Important,14,White,0,0
15691,Uruguay,12,0,Somewhat Safe,Male,Little,2,Between 10 and 30 minutes,5,Increase punishment of criminal,Agnostic or Atheist (Does not believe in God),Not Important at All,9,White,0,0
15692,Uruguay,18,0,Very Unsafe,Male,Little,5,Less than 10 minutes,1,Implement preventative measures,Don't Know,Not Important at All,14,White,0,0
15693,Uruguay,8,1,Somewhat Safe,Female,A lot,6,Between 10 and 30 minutes,1,Increase punishment of criminal,Catholic,Somewhat Important,NA,White,0,0
15694,Uruguay,11,1,Very Unsafe,Female,None,7,Between 10 and 30 minutes,10,Increase punishment of criminal,Catholic,Somewhat Important,16,White,0,0
15695,Uruguay,8,1,Somewhat Unsafe,Male,Some,6,Between 10 and 30 minutes,2,Increase punishment of criminal,None (Believes in a Supreme Entity but does not belong to any religion),Somewhat Important,16,White,1,0
15696,Uruguay,7,0,Somewhat Safe,Male,None,5,Less than 10 minutes,2,Implement preventative measures,None (Believes in a Supreme Entity but does not belong to any religion),Very Important,2,Indigenous,0,0
15697,Uruguay,9,1,Very Unsafe,Female,Little,2,More than 3 hours,1,Increase punishment of criminal,None (Believes in a Supreme Entity but does not belong to any religion),Not Important at All,4,Mestizo,0,1
15698,Uruguay,6,0,Somewhat Safe,Female,Little,4,Between 10 and 30 minutes,5,Implement preventative measures,Don't Know,Not Important at All,9,White,0,0
15699,Uruguay,9,0,Somewhat Safe,Female,Some,6,Between 10 and 30 minutes,5,Increase punishment of criminal,Church of Latter Day Saints (Mormon),Very Important,7,Black,0,0
15700,Uruguay,9,1,Somewhat Unsafe,Female,None,6,More than 30 minutes and up to an hour,1,Implement preventative measures,None (Believes in a Supreme Entity but does not belong to any religion),Not Very Important,2,Mestizo,0,0
15701,Uruguay,10,0,Very Unsafe,Male,None,3,More than 1 hour and up to 3 hours,10,No Response,Evangelical and Protestant,Very Important,6,White,0,1
